Participant; Input; Distance; Width; Practice; Block; Trial; SerieNumber; TargetX; TargetY; Time; FirstClickTime; FirstClickDownX; FirstClickDownY; FirstClickUpX; FirstClickUpY; LastClickDownX; LastClickDownY; LastClickUpX; LastClickUpY; FullError; DownError; UpError; Reset
1; TokenAnse;864;8; false;1;13;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;8; false;1;13;2;0.4089845;0.7730463;2543;2380;0.4084122;0.2201299;0.4096666;0.226984;0.4084122;0.2201299;0.4096666;0.226984;0;0;0; False
1; TokenAnse;864;8; false;1;13;3;0.6287153;0.5000001;2012;1869;0.6348378;0.4978833;0.6337936;0.4988853;0.6348378;0.4978833;0.6337936;0.4988853;0;0;0; False
1; TokenAnse;864;8; false;1;13;4;0.4089845;0.2269537;2992;2824;0.4111193;0.7843136;0.4117177;0.7833304;0.4111193;0.7843136;0.4117177;0.7833304;0;0;0; False
1; TokenAnse;864;8; false;1;13;5;0.5;0.8861458;3991;2332;0.5010978;0.1255302;0.500822;0.1355998;0.5005302;0.1163577;0.5024945;0.1298339;0;0;1; False
1; TokenAnse;864;8; false;1;13;6;0.5910155;0.2269536;2244;2143;0.5929006;0.7700267;0.5935813;0.7739308;0.5929006;0.7700267;0.5935813;0.7739308;0;0;0; False
1; TokenAnse;864;8; false;1;13;7;0.3712847;0.5;2045;1910;0.3658885;0.4968328;0.3688262;0.4987778;0.3658885;0.4968328;0.3688262;0.4987778;0;0;0; False
1; TokenAnse;864;8; false;1;13;8;0.5910155;0.7730463;2461;2345;0.5921147;0.2229993;0.5917194;0.2299488;0.5921147;0.2229993;0.5917194;0.2299488;0;0;0; False
1; TokenAnse;864;24; false;1;14;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;24; false;1;14;2;0.4089845;0.7730463;1545;1397;0.4101594;0.2436756;0.410501;0.2549492;0.4101594;0.2436756;0.410501;0.2549492;0;0;0; False
1; TokenAnse;864;24; false;1;14;3;0.6287153;0.5000001;1413;1247;0.6243546;0.509205;0.62556;0.5117325;0.6243546;0.509205;0.62556;0.5117325;0;0;0; False
1; TokenAnse;864;24; false;1;14;4;0.4089845;0.2269537;1496;1347;0.409187;0.7609421;0.4096529;0.7653924;0.409187;0.7609421;0.4096529;0.7653924;0;0;0; False
1; TokenAnse;864;24; false;1;14;5;0.5;0.8861458;1680;1509;0.5012788;0.138772;0.5055722;0.1426804;0.5012788;0.138772;0.5055722;0.1426804;0;0;0; False
1; TokenAnse;864;24; false;1;14;6;0.5910155;0.2269536;1361;1190;0.5885538;0.8204244;0.5899588;0.8024219;0.5885538;0.8204244;0.5899588;0.8024219;0;0;0; False
1; TokenAnse;864;24; false;1;14;7;0.3712847;0.5;1629;1495;0.3815124;0.5197762;0.381955;0.5242724;0.3815124;0.5197762;0.381955;0.5242724;0;0;0; False
1; TokenAnse;864;24; false;1;14;8;0.5910155;0.7730463;1512;1349;0.583565;0.220675;0.5875298;0.2394627;0.583565;0.220675;0.5875298;0.2394627;0;0;0; False
1; TokenAnse;4900;15; false;1;15;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;15; false;1;15;2;0.9166667;0.9114583;2277;2126;0.9121246;0.08876377;0.9140412;0.1040416;0.9121246;0.08876377;0.9140412;0.1040416;0;0;0; False
1; TokenAnse;4900;15; false;1;15;3;0.08333334;0.9114583;2378;2218;0.0930344;0.09207525;0.09368014;0.09587505;0.0930344;0.09207525;0.09368014;0.09587505;0;0;0; False
1; TokenAnse;4900;15; false;1;15;4;0.9166667;0.5677083;2610;2463;0.9157129;0.4276264;0.9144154;0.4339413;0.9157129;0.4276264;0.9144154;0.4339413;0;0;0; False
1; TokenAnse;4900;15; false;1;15;5;0.08333334;0.2239583;2311;2222;0.0798149;0.7873214;0.08184407;0.7875379;0.0798149;0.7873214;0.08184407;0.7875379;0;0;0; False
1; TokenAnse;4900;15; false;1;15;6;0.9166667;0.08854166;2378;2324;0.9260876;0.901074;0.9130247;0.8875813;0.9260876;0.901074;0.9130247;0.8875813;0;0;0; False
1; TokenAnse;4900;15; false;1;15;7;0.08333334;0.2239583;2461;2312;0.08890527;0.7689346;0.09088197;0.7751746;0.08890527;0.7689346;0.09088197;0.7751746;0;0;0; False
1; TokenAnse;4900;15; false;1;15;8;0.9166667;0.5677083;2161;2005;0.9210355;0.4407102;0.916692;0.4375736;0.9210355;0.4407102;0.916692;0.4375736;0;0;0; False
1; TokenAnse;4900;15; false;1;16;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;15; false;1;16;2;0.9166667;0.9114583;2627;2466;0.9232487;0.08775821;0.9140413;0.09788635;0.9232487;0.08775821;0.9140413;0.09788635;0;0;0; False
