Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
55 Lettuce- cos or romaine- raw,1,3.24,1.19,1.24,0.26,35.0,5230.0,0.0,0.0,50.0,0.0,0.95,13.7,0.0,0.0,253.0,0.0,4.6
56 Melons- cantaloupe- raw,3,8.16,7.88,0.82,0.18,9.0,2780.0,0.0,0.0,14.0,0.0,0.38,13.0,0.0,0.0,157.0,0.0,10.9
57 Oranges- raw- navels,3,11.8,8.57,0.91,0.15,43.0,0.0,0.0,0.0,25.0,0.0,0.33,10.7,0.0,0.0,166.0,0.0,59.1
58 Milk- lowfat- fluid- 1% milkfat- with added vitamin A and vitamin D,2,5.18,4.96,3.38,0.95,126.0,1.0,0.568,0.036,2.0,36.2,0.0,12.0,0.026,0.004,159.0,0.61,0.0
59 Pears- raw- bartlett,3,15.1,9.69,0.38,0.16,8.0,8.0,0.0,0.0,6.0,0.0,0.17,5.7,0.0,0.0,87.0,0.0,4.4
60 Restaurant- Chinese- sweet and sour pork,10,25.5,10.3,8.88,13.6,46.0,259.0,2.68,0.087,0.0,0.0,3.07,13.0,6.2,0.785,152.0,0.19,2.3
61 Salt- table- iodized,17,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5080.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
62 Milk- nonfat- fluid- with added vitamin A and vitamin D (fat free or skim),2,4.92,5.05,3.43,0.08,132.0,2.0,0.049,0.0,2.0,35.7,0.0,12.5,0.005,0.0,167.0,0.58,0.0
63 Sauce- salsa- ready-to-serve,16,6.74,3.81,1.44,0.19,28.0,288.0,0.0,0.0,0.0,0.0,0.42,15.2,0.0,0.0,258.0,0.0,0.0
64 Milk- reduced fat- fluid- 2% milkfat- with added vitamin A and vitamin D,2,4.9,4.89,3.36,1.9,126.0,3.0,1.11,0.07,2.0,39.6,0.0,12.0,0.045,0.007,159.0,0.55,0.0
65 Sausage- breakfast sausage- beef- pre-cooked- unprepared,9,3.37,1.0,13.3,28.7,35.0,0.0,11.3,1.18,0.0,0.0,1.55,19.7,1.57,0.092,263.0,1.13,19.2
66 Sausage- Italian- pork- mild- cooked- pan-fried,9,2.15,1.46,18.2,26.2,12.0,0.0,9.15,0.1,0.0,0.0,1.29,18.6,4.31,0.175,310.0,1.06,0.0
67 Sausage- pork- chorizo- link or ground- cooked- pan-fried,9,2.63,0.0,19.3,28.1,37.0,0.0,9.45,0.115,10.0,0.0,2.34,30.1,4.13,0.184,435.0,1.21,0.0
68 Milk- whole- 3.25% milkfat- with added vitamin D,2,4.63,4.81,3.27,3.2,123.0,7.0,1.86,0.112,0.0,37.9,0.0,11.9,0.084,0.012,150.0,0.54,0.0
69 Sausage- turkey- breakfast links- mild- raw,9,0.93,0.0,16.7,10.4,32.0,0.0,2.53,0.104,0.0,0.0,1.17,18.9,2.8,0.186,310.0,1.2,0.0
