Session;Condition;Participant;Task;DataSet;IP;Move;MoveToPS;Select;BatchMoveSelection;BatchMoveSurface;BatchMoveFromPS;ExpandPS;EmptySurface;EmptySelection;Relayout;SurfaceCreated;SurfaceDestroyed;ToPSMoves;FromPSMoves;MaxItemInPS;TotItemsInSurfaces;MaxItemsInSurface;TotWalkDistance;TotItemMoveDistance;TotSurfaceMoveDistance;TotCursorMoveDistance;AvgDistanceToWall;InterPlayerDistance;CompletionTime;FirstActionTime;FirstToLastActionTime;InterCursorDistance
S7;AR;P1;Story;2;116;19;0;32;1;0;0;0;0;0;0;2;1;0;0;0;7;10;18.15007;252.4249;89.47439;1170.477;2.586215;1.751014;799.58;765.0215;747.6539;2.084485
S7;Wall;P1;Classification;1;116;31;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5.764177;85.94091;0;279.142;2.708726;2.274323;300.5;286.3994;283.1398;1.692723
S7;Wall;P2;Classification;1;180;36;0;30;21;0;0;0;0;0;0;0;0;0;0;0;0;0;4.717569;98.90411;0;271.2091;3.185561;2.274323;300.5;286.3994;283.1073;1.692723
S7;Wall;P1;Story;1;116;15;0;23;5;0;0;0;0;0;0;0;0;0;0;0;0;0;14.18106;47.37254;0;606.7535;2.821537;1.353941;750.58;746.7338;746.464;1.074531
S7;Wall;P2;Story;1;180;4;0;46;14;0;0;0;0;0;0;0;0;0;0;0;0;0;25.92772;66.46;0;592.0294;3.006803;1.353941;750.58;746.7338;746.464;1.074531
S8;AR;P1;Classification;1;116;20;0;22;8;0;0;0;0;0;2;1;0;0;0;0;31;24;11.56971;204.2631;11.94567;382.9573;2.566926;1.965567;213.08;201.0343;187.1766;3.212111
S8;AR;P2;Classification;1;180;2;0;29;7;0;0;0;0;0;5;2;0;0;0;0;33;24;16.11291;180.1368;8.368695;340.9659;2.426596;1.965567;213.08;201.0343;187.1473;3.212111
S8;Wall;P2;Classification;2;180;54;0;42;4;0;0;0;0;0;0;0;0;0;0;0;0;0;7.229591;191.4551;0;339.9328;2.527368;1.860059;317.76;307.3438;298.4215;1.518786
S8;Wall;P1;Classification;2;116;46;0;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10.99999;133.8606;0;321.9824;2.250067;1.860059;317.76;307.3438;298.4215;1.518786
S8;Wall;P2;Story;2;180;44;0;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;21.47878;120.609;0;475.9161;2.432821;1.405875;540.66;488.9471;471.927;1.406385
S8;Wall;P1;Story;2;116;32;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33.4409;117.6942;0;567.6515;2.329302;1.405875;540.66;488.9471;471.927;1.406385
S9;AR;P2;Classification;2;180;20;0;15;3;0;0;0;0;0;2;1;0;0;0;0;26;26;6.087863;182.5067;5.648633;392.9324;3.686955;1.252543;230.98;221.8867;217.6362;2.462483
S9;AR;P1;Classification;2;116;12;0;11;5;0;0;0;0;0;4;1;0;0;0;0;19;26;13.26169;125.6947;8.227807;402.7928;3.856232;1.252543;230.98;221.8867;217.6362;2.462483
S9;AR;P1;Story;2;116;15;0;9;2;0;0;0;0;0;3;1;0;0;0;0;19;17;28.2718;90.13738;7.866781;666.2154;3.727463;0.9490393;499.7;478.1855;466.0688;1.588934
S9;AR;P2;Story;2;180;12;0;9;1;0;0;0;0;0;1;1;0;0;0;0;19;17;8.132868;105.4025;28.34385;634.658;2.964238;0.9490393;499.7;478.1855;466.0154;1.588934
S9;Wall;P1;Classification;1;116;21;0;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;15.02956;93.52612;0;314.5955;3.982759;1.349476;365.6;314.2027;279.914;1.545275
S9;Wall;P2;Classification;1;180;18;0;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6.657099;85.10969;0;313.2362;3.827537;1.349476;365.6;314.2027;279.8646;1.545275
S9;Wall;P2;Story;1;180;50;0;45;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7.517225;155.7005;0;509.001;3.769878;1.015605;576.52;535.295;524.7281;1.504789
S9;Wall;P1;Story;1;116;36;0;36;7;0;0;0;0;0;0;0;0;0;0;0;0;0;10.64039;302.5231;0;572.7388;4.096613;1.015605;576.52;535.295;524.6999;1.504789
S10;AR;P1;Classification;1;116;2;1;27;2;0;0;2;0;2;2;2;0;21;21;14;26;23;19.19875;67.17173;27.38028;624.3146;3.14435;1.707413;413.66;351.2511;329.9793;3.159839
S10;AR;P2;Classification;1;180;11;0;32;2;0;0;1;0;1;3;3;0;19;19;19;46;23;15.57183;191.4166;25.90324;684.4891;3.000049;1.707413;413.66;351.2511;329.9793;3.159839
S10;AR;P2;Story;1;180;8;0;74;3;0;0;1;0;1;1;1;0;44;44;44;53;44;15.42388;454.594;33.41631;657.9818;3.011732;1.977742;492.54;460.6761;436.8893;1.445785
S10;AR;P1;Story;1;116;20;0;17;5;0;0;0;0;0;1;1;0;0;0;0;4;44;29.09399;113.5194;7.102771;664.4869;2.889432;1.977742;492.54;460.6761;436.875;1.445785
S10;Wall;P2;Classification;2;180;28;0;19;10;0;0;0;0;0;0;0;0;0;0;0;0;0;5.641718;102.7057;0;312.7418;3.481424;1.819363;374.2;357.1579;354.812;1.384012
S10;Wall;P1;Classification;2;116;37;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6.581556;60.53171;0;296.3014;3.589357;1.819363;374.2;357.1579;354.812;1.384012
