"Participant","GestureID","PlaneOrientation","GestureTap","Time","SpeedThumb","AccelerationThumb","SpeedIndex","AccelerationIndex","SpeedMiddle","AccelerationMiddle","PosXThumb","PosYThumb","PosZThumb","PosXIndex","PosYIndex","PosZIndex","PosXMiddle","PosYMiddle","PosZMiddle"
1,"DoubleTap","Horizontal",5,47.21934,0.0005989681,-1.024878,0.0005996597,-1.350801,0.000594183,-2.054628,0.1296462,-0.0113799,0.7213151,0.1531003,0.04849843,0.7327334,0.1777764,0.05293944,0.7386143
1,"DoubleTap","Horizontal",5,46.60302,0.003192383,-0.3558941,0.003186688,-1.092379,0.003183156,-1.532802,0.1285231,-0.01162517,0.7221658,0.1505557,0.04786305,0.7338492,0.1772729,0.05839997,0.7369499
1,"DoubleTap","Horizontal",5,47.02108,0.04283014,2.550776,0.02582557,1.530897,0.05236358,3.121944,0.1299915,-0.01051668,0.721018,0.1515433,0.04768355,0.7327461,0.1775015,0.0605482,0.7351347
1,"DoubleTap","Horizontal",5,46.53576,0.01651728,0.7033901,0.01989385,0.9008126,0.009666879,0.30281,0.1291879,-0.01192469,0.7226425,0.1513025,0.04752997,0.7344226,0.1782374,0.05815263,0.7375166
1,"DoubleTap","Horizontal",5,47.26929,0.06382571,1.380375,0.01717397,-1.618172,0.02884562,-1.942045,0.1280959,-0.01103307,0.7196432,0.1517818,0.04871305,0.73177,0.1766866,0.05450492,0.7373864
1,"DoubleTap","Horizontal",5,45.45281,0.0210942,-1.324136,0.02749688,0.5504568,0.04835923,1.082244,0.1354869,-0.004513086,0.5510811,0.1609046,0.06444734,0.5520283,0.1920793,0.07253298,0.5625756
1,"DoubleTap","Horizontal",6,51.9529,0.1486787,1.630937,0.1486789,-0.9672695,0.1486793,1.123609,0.1132308,-0.01445843,0.7322592,0.1346059,0.044777,0.7387095,0.1605959,0.04963129,0.747786
1,"DoubleTap","Horizontal",6,52.65255,0.004382326,0.08084454,0.05481099,3.148687,0.03164706,1.739394,0.1194428,-0.008938886,0.7196164,0.1427442,0.04881069,0.7296579,0.1655202,0.05850321,0.7345481
1,"DoubleTap","Horizontal",6,51.20267,0.0008777992,-0.6313956,0.0008756787,-0.219593,0.0008772165,-0.1511812,0.1173516,-0.01034135,0.6819956,0.1382926,0.05110517,0.689557,0.1673668,0.05718174,0.6990296
1,"DoubleTap","Horizontal",6,53.0364,0.01589307,-0.3097995,0.01376814,-2.350503,0.01602056,-5.300198,0.1191972,-0.009047293,0.7197564,0.1450255,0.04487891,0.7340248,0.1675728,0.05501809,0.737353
1,"DoubleTap","Horizontal",6,51.40237,0.001672819,-0.5471408,0.001673274,-1.619236,0.00167365,-1.818804,0.1175747,-0.009311133,0.6816389,0.1391009,0.05152404,0.6885296,0.167646,0.0587557,0.6967496
1,"DoubleTap","Horizontal",6,51.91889,0.1661585,-40.5885,0.149386,-39.57775,0.1664752,-40.4176,0.1129312,-0.014005,0.7319474,0.1334635,0.04422108,0.7385979,0.160712,0.04958244,0.7475748
1,"DoubleTap","Horizontal",7,59.15368,0.02365966,0.7451714,0.0210355,-0.2683482,0.03363271,-2.711261,0.1154754,-0.02338336,0.720368,0.136476,0.02939107,0.7314369,0.1615597,0.0425753,0.7331675
1,"DoubleTap","Horizontal",7,58.76923,0.5396318,26.93525,0.7042449,36.92395,0.657894,34.11149,0.1134662,-0.01952361,0.7174464,0.1315553,0.03270674,0.7232683,0.1586708,0.04240723,0.7268783
1,"DoubleTap","Horizontal",7,58.83562,0.03115243,-4.324323,0.03115994,-6.092173,0.03115322,-4.578646,0.1139817,-0.01856046,0.7147932,0.1338319,0.03456168,0.7190943,0.1612018,0.04528306,0.7233821
1,"DoubleTap","Horizontal",7,59.3031,0.002540659,-0.7733214,0.002544192,-1.287775,0.002541088,-5.052708,0.1153379,-0.02467487,0.722039,0.1356511,0.02858524,0.7327253,0.1593437,0.03583575,0.7371854
1,"DoubleTap","Horizontal",7,57.82094,0.03452889,1.347507,0.01837826,0.7606702,0.02727357,1.289397,0.1198605,-0.01735214,0.6329409,0.1396027,0.03975663,0.6394742,0.1667944,0.04469989,0.6516347
1,"DoubleTap","Horizontal",7,59.70291,0.06556232,1.811159,0.03919112,1.641416,0.04688736,1.900232,0.1152528,-0.02460292,0.7210649,0.1365821,0.02964345,0.7318289,0.1606888,0.03405158,0.736964
1,"DoubleTap","Horizontal",7,58.06949,0.005979307,-0.880238,0.005979398,-0.9960833,0.005983579,-0.9497592,0.1196992,-0.01655177,0.6314808,0.1389075,0.04084468,0.6375824,0.1664877,0.04571752,0.6502495
1,"DoubleTap","Horizontal",8,67.10322,0.01445421,0.5880393,0.06795549,3.830066,0.1238547,7.217589,0.1191922,-0.01942293,0.7191547,0.1401628,0.03344252,0.728898,0.1640572,0.0394032,0.7344418
1,"DoubleTap","Horizontal",8,65.3368,0.4402604,-16.48612,0.3855816,-16.37714,0.3241097,-18.27579,0.1128663,-0.002653489,0.6590441,0.1347237,0.04587889,0.6628764,0.1602246,0.05319628,0.6708583
1,"DoubleTap","Horizontal",8,67.31863,0.006186754,-1.521469,0.02823932,-3.62537,0.05127547,2.505049,0.1207917,-0.01984215,0.7207613,0.1413666,0.02959854,0.7309285,0.1637218,0.03498352,0.7354665
1,"DoubleTap","Horizontal",8,67.90297,0.0008027695,-2.07568,0.0008019865,-0.5822793,0.0008001715,-0.7814878,0.120492,-0.01883399,0.7204186,0.140575,0.03057852,0.7292494,0.1635847,0.03634445,0.7337723
1,"DoubleTap","Horizontal",8,65.41896,0.4296331,-11.43338,0.4296405,-8.047717,0.4296407,-6.362528,0.1078476,0.0027226,0.6987324,0.1305216,0.05298903,0.6997243,0.1573811,0.05988906,0.7062647
1,"DoubleTap","Horizontal",8,65.16938,0.1267637,6.228986,0.1210504,5.875239,0.1224774,5.963588,0.1322982,-0.01444303,0.5976775,0.1529856,0.0301184,0.6065995,0.1768384,0.03643067,0.6159882
1,"DoubleTap","Horizontal",8,65.21947,0.07934205,-14.3356,0.07934543,-13.03314,0.07934204,-13.22813,0.1287513,-0.01147793,0.6073695,0.14967,0.0342783,0.6151882,0.1736798,0.04049648,0.6248483
1,"DoubleTap","Horizontal",8,65.63604,0.03498192,-29.68848,0.03498456,-37.80822,0.03498273,-39.63969,0.1206644,-0.01032282,0.7103767,0.1416436,0.04543519,0.7092201,0.1700163,0.04955107,0.7156277
1,"DoubleTap","Horizontal",8,67.2028,0.03062487,-0.144485,0.04666309,0.01425573,0.0763628,2.701602,0.1199532,-0.01822185,0.7184262,0.141453,0.034301,0.7258406,0.1638821,0.03786923,0.7323878
1,"DoubleTap","Horizontal",8,64.70335,0.02625264,0.3292461,0.02181849,-0.0889999,0.0186703,-1.252778,0.1315341,-0.02127082,0.5884901,0.1499448,0.02110972,0.5984418,0.1742422,0.03021749,0.6068328
1,"DoubleTap","Horizontal",9,72.41895,0.297172,-2.121217,0.2721117,-2.560159,0.255461,-3.185922,0.1212075,0.002174576,0.6399207,0.1471355,0.05175358,0.6438395,0.1734723,0.0564878,0.6531305
1,"DoubleTap","Horizontal",9,75.83612,0.02529411,-0.1441688,0.0408642,0.9388123,0.0294185,-1.529855,0.1275641,-0.009685406,0.7196296,0.1535783,0.03814302,0.7296371,0.179035,0.04296687,0.7339262
1,"DoubleTap","Horizontal",9,72.25296,0.1445882,8.001867,0.1344025,7.381501,0.1272664,6.946867,0.1263598,-0.008984073,0.6088503,0.1534406,0.04063337,0.6165527,0.1803247,0.04607795,0.6271825
1,"DoubleTap","Horizontal",9,73.41938,0.009040994,0.5176404,0.04697719,2.824582,0.03096347,1.850975,0.1288595,-0.01061485,0.7208263,0.1548044,0.03779645,0.7302237,0.1807975,0.04767827,0.7318968
1,"DoubleTap","Horizontal",9,73.18599,0.001530177,-0.9674332,0.001528009,-0.9098889,0.001529326,-1.586224,0.129695,-0.01058051,0.7215679,0.1570999,0.03806635,0.731836,0.1839576,0.04815087,0.7324421
1,"DoubleTap","Horizontal",9,73.91936,0.0267371,-0.5103068,0.02057798,-0.5846593,0.01323272,-0.8092743,0.1267134,-0.009665124,0.7180804,0.1540311,0.0375338,0.7276434,0.1794391,0.0456554,0.7305242
1,"DoubleTap","Horizontal",9,74.6199,0.02906294,0.4013872,0.06686673,1.032408,0.06104981,0.3727699,0.1265213,-0.01205525,0.7220595,0.1553726,0.03741335,0.7324833,0.1814304,0.04291118,0.7361274
