;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
1025;Chaitén;Cha1;;;Ant-1;14_05_3-7;Antillanca;-72.20333333;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.77416667;Antillanca;Geochemistry_Issue;;71.47305;0.098167;12.833471;1.180296;0.222;0.041;1.041206;3.581504;2.847398;
9019;Mocho-Choshuenco;MC3;4.0;;130108-05C;2ox1_11;;-72.037678;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.909329;130108-05;Position_Issue;;61.5239;0.7982;16.0428;6.2853;0.2189;2.5376;4.8568;4.9501;1.619;0.1685
14975;Unknown;Unknown;;;RIN2A-V-13;CL'-F_29;Lago Riñihue;-72.389;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.816;RIN2;;;58.2586;1.4256;16.0652;6.9468;0.1117;2.5074;5.3265;4.9594;2.0981;0.450066741
9889;Mocho-Choshuenco;Unknown;;;130108_02A;130108_02A;;-71.89314899;Rawson et al., 2016;https://doi.org/10.1016/j.epsl.2016.09.056;Pyroclastic material;Bulk;Bulk tephra;XRF, ICP-MS;Outcrop;-39.87170496;130108_02;Geochemistry_Issue;;52.20614114;1.292201249;19.02942718;;0.161803695;3.567757568;7.991849333;3.53989598;0.784610057;0.223964463
10859;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-2;13-19-2-10;Bariloche (BSI),  km 7.600;-71.401777;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-41.13;;;2011;;;;;;;;;;
11550;Puyehue-Cordón Caulle;PCC2;4.9;5.0;CLD244C;PII-C_5;;-71.62799402;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.47657704;CLD244;;;71.2419;0.3605;13.3376;3.4794;0.0815;0.1948;1.4031;5.2558;2.9113;0.0147
16494;Villarrica;Unknown;;;VILL2C-II-25;LV2B_10;Lago Villarrica;-72.1655;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.2585;VILL2;;;54.2417;1.5294;12.894;10.9973;0.3132;5.2023;9.3851;3.2779;0.8353;0.2465
2690;Chaitén;Vcha-2008;;;S9-04-05-2008;08-1_5 9;;-72.786722;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.863667;Section 9;Geochemistry_Issue;2008;74.661528;0.142;13.9317058;1.2558378;0.058;0.273;1.351608;3.7553386;3.00233026;
16433;Villarrica;Pucón;5.7;5.0;VILL1C-II-55;LV2A_30;Lago Villarrica;-72.171;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.257;VILL1;;;55.3071;1.4858;14.8961;9.8393;0.1558;4.0144;7.4702;3.7637;1.0732;0.2667
10800;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-18;13-20-6-10;Comallo;-70.246716;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-41.10592;;;2011;;;;;;;;;;
13399;Quetrupillán;Quet6;;;CLD194B;Qu13-A-6;;-71.65841999;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.56570699;CLD194;;;65.53801559;1.043385315;15.55465209;4.19256652;0.159211387;1.115481037;3.045042939;4.705247212;2.993975136;0.318422774
5858;Llaima;Llaima Pumice;;;JK261b;JK261b-15;;-71.61;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.76;C275;;;69.7;0.3965;15.31;4.23;0.1641;0.4558;2.39;5.58;1.71;0.0778
16410;Villarrica;Unknown;;;VILL1C-I-23;LV1F_30;Lago Villarrica;-72.171;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.257;VILL1;;;57.1611;1.6706;14.7002;10.9061;0.1764;3.294;7.1384;4.0414;0.9775;0.2531
11057;Puyehue-Cordón Caulle;Unknown;;;LB090816-1;LB090816-1;Cerro Hueleco;-72.1669552;Bertin et al., 2018;http://tienda.sernageomin.cl/TiendaVirtual2/ProductDetail.aspx?pid=2882;Organic matter;Micro Analytical;Charcoal;Accelerator Mass Spectrometry;Outcrop;-40.3559045;;DOI_Issue;;;;;;;;;;;
13876;Sollipulli;Alpehué;6.0;;VILLAR1B-I-58;LV5A_6;Lago Villarrica;-72.21001;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.28339;VILLAR1;;;70.9193;0.2374;13.4828;1.8074;0.0497;0.1859;1.048;4.7485;4.0046;0.0254
14612;Unknown;Unknown;;;CLD235C;PII-B_8;;-71.43846997;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.57226901;CLD235;;;63.5458;0.8301;15.348;4.3774;0.1037;1.0319;3.015;5.3513;3.0323;0.2583
9820;Mocho-Choshuenco;Hua-hum;4.6;4.0;CLD153A;1K2_20;;-71.94895201;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.22828604;CLD153;EventName_Issue;;62.3818;1.1092;15.6084;6.4905;0.2076;2.0092;4.4691;5.4354;1.5564;0.4143
